validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,8233.892,211339863.674,14537.533,0.13,20.0,36.67,63.33,8.5,9.64,11.45,8.5,10.76,15.15
MLP_seq,7686.177,212282237.67,14569.909,0.12,10.0,40.0,66.67,5.84,7.84,9.86,5.84,9.77,13.97
MLP_seq,6677.067,183374761.922,13541.594,0.11,16.67,43.33,76.67,4.98,5.04,7.59,4.98,5.1,12.69
MLP_seq,6641.563,177520640.607,13323.687,0.11,23.33,46.67,70.0,3.74,3.47,6.45,3.74,3.18,12.35
MLP_seq,6533.008,173948749.101,13188.963,0.11,13.33,50.0,80.0,4.14,3.66,6.87,4.14,3.18,13.17
MLP_seq,7268.743,193309956.803,13903.595,0.12,20.0,36.67,70.0,5.17,5.7,8.66,5.17,6.23,14.51
MLP_seq,6414.558,183413731.291,13543.033,0.1,30.0,56.67,76.67,5.0,4.38,7.06,5.0,3.74,12.41
MLP_seq,7581.119,202251480.052,14221.515,0.12,10.0,43.33,73.33,6.33,6.3,8.64,6.33,6.27,13.35
MLP_seq,7309.504,188675710.206,13735.928,0.12,13.33,50.0,70.0,5.47,5.0,7.65,5.47,4.53,12.93
MLP_seq,7504.51,188728173.448,13737.837,0.12,13.33,36.67,70.0,6.23,6.99,9.23,6.23,7.74,13.77
MLP_seq,6835.066,181704328.487,13479.775,0.11,30.0,46.67,70.0,3.81,4.68,7.6,3.81,5.53,13.38
MLP_seq,8746.852,221159474.745,14871.431,0.14,13.33,30.0,46.67,3.07,4.48,7.45,3.07,5.85,13.35
MLP_seq,6293.774,167954460.113,12959.725,0.11,30.0,43.33,73.33,1.37,1.33,4.2,1.37,1.29,9.92
MLP_seq,7335.398,198261727.56,14080.544,0.12,13.33,36.67,76.67,6.35,6.05,8.93,6.35,5.75,14.62
MLP_seq,6275.162,171212023.525,13084.801,0.1,33.33,50.0,76.67,3.99,3.67,6.26,3.99,3.35,11.45
MLP_seq,6321.931,171293104.768,13087.899,0.1,20.0,56.67,80.0,4.05,3.76,6.31,4.05,3.46,11.44
MLP_seq,6114.167,168602698.557,12984.71,0.1,33.33,53.33,80.0,3.94,3.26,5.79,3.94,2.56,10.89
MLP_seq,7112.231,196546876.176,14019.518,0.11,10.0,50.0,70.0,6.29,6.05,8.65,6.29,5.8,13.86
MLP_seq,6725.892,183794164.386,13557.071,0.11,20.0,56.67,73.33,4.9,4.26,7.06,4.9,3.61,12.63
MLP_seq,6559.792,175165896.874,13235.025,0.11,6.67,46.67,80.0,4.12,3.78,6.53,4.12,3.44,12.0
MLP_seq,7110.767,193443290.516,13908.389,0.11,6.67,50.0,73.33,4.73,5.48,8.35,4.73,6.23,14.05
MLP_seq,6845.934,186900096.47,13671.141,0.11,20.0,50.0,80.0,6.31,5.76,8.39,6.31,5.18,13.65
MLP_seq,7035.973,195816393.689,13993.441,0.11,13.33,43.33,76.67,5.98,5.43,7.77,5.98,4.87,12.49
MLP_seq,6905.162,178625364.636,13365.08,0.11,20.0,50.0,70.0,5.16,4.58,7.34,5.16,3.99,12.84
MLP_seq,7000.055,166728632.472,12912.344,0.12,13.33,36.67,66.67,3.21,3.48,6.2,3.21,3.75,11.64
MLP_seq,7172.386,194122639.271,13932.79,0.11,16.67,43.33,66.67,4.36,5.08,7.94,4.36,5.8,13.62
MLP_seq,9077.93,231934115.236,15229.383,0.14,0.0,26.67,46.67,3.97,4.99,7.87,3.97,6.0,13.58
