timestamp,kWh fornecido
2022-01-07,358513.92
2022-01-14,340824.96
2022-01-21,361753.92
2022-01-28,342986.4
2022-02-04,298560.95999999996
2022-02-11,339981.12
2022-02-18,342813.6
2022-02-25,363745.44
2022-03-04,362645.28
2022-03-11,362969.28
2022-03-18,355632.48
2022-03-25,362350.08
2022-04-01,362135.52
2022-04-08,362381.76
2022-04-15,359976.96
2022-04-22,336428.64
2022-04-29,345124.8
2022-05-06,340267.68
2022-05-13,336627.36
2022-05-20,342332.64
2022-05-27,358997.76
2022-06-03,338676.48
2022-06-10,345841.92
2022-06-17,347349.60000000003
2022-06-24,340005.6
2022-07-01,340283.52
2022-07-08,338935.68
2022-07-15,352005.12
2022-07-22,364390.56
2022-07-29,342851.04000000004
2022-08-05,302029.92
2022-08-12,259538.40000000002
2022-08-19,261495.36
2022-08-26,251670.24
2022-09-02,341746.56
2022-09-09,346593.6
2022-09-16,326344.32
2022-09-23,364861.44
2022-09-30,347343.83999999997
2022-10-07,347340.96
2022-10-14,335436.48
2022-10-21,357122.88
2022-10-28,357871.68
2022-11-04,362989.44
2022-11-11,361598.4
2022-11-18,350853.12
2022-11-25,356798.88
2022-12-02,334307.52
2022-12-09,355514.4
2022-12-16,323533.44
2022-12-23,351390.24
2022-12-30,364701.6
2023-01-06,51387.84
