timestamp,kWh fornecido
2022-01-07,297393.6
2022-01-14,283113.60000000003
2022-01-21,296136.0
2022-01-28,282024.0
2022-02-04,269116.8
2022-02-11,303888.0
2022-02-18,280857.6
2022-02-25,298944.0
2022-03-04,294076.8
2022-03-11,298540.8
2022-03-18,291979.2
2022-03-25,299524.8
2022-04-01,300969.6
2022-04-08,286536.0
2022-04-15,303859.2
2022-04-22,289305.6
2022-04-29,293568.0
2022-05-06,290606.39999999997
2022-05-13,301992.0
2022-05-20,307401.6
2022-05-27,295209.6
2022-06-03,261326.40000000002
2022-06-10,294868.8
2022-06-17,298540.8
2022-06-24,292723.2
2022-07-01,293140.8
2022-07-08,282614.4
2022-07-15,290304.0
2022-07-22,292689.6
2022-07-29,279715.2
2022-08-05,258091.2
2022-08-12,206832.0
2022-08-19,217252.8
2022-08-26,201364.8
2022-09-02,268209.6
2022-09-09,306273.6
2022-09-16,273024.0
2022-09-23,312115.2
2022-09-30,295771.2
2022-10-07,285796.8
2022-10-14,309739.2
2022-10-21,311102.4
2022-10-28,311107.2
2022-11-04,304171.2
2022-11-11,310444.8
2022-11-18,300244.8
2022-11-25,301334.4
2022-12-02,236726.4
2022-12-09,269251.2
2022-12-16,290558.39999999997
2022-12-23,296150.4
2022-12-30,303523.2
2023-01-06,43056.0
