validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,10476.911,268703756.938,16392.186,0.16,6.67,16.67,43.33,10.9,14.88,15.49,10.9,18.81,16.73
MLP_seq,9531.895,258493129.083,16077.722,0.15,6.67,30.0,50.0,8.31,13.19,13.97,8.31,17.91,15.57
MLP_seq,7382.872,205566932.826,14337.606,0.12,30.0,36.67,70.0,5.1,8.35,9.71,5.1,11.62,12.42
MLP_seq,8849.928,241267671.664,15532.793,0.14,13.33,40.0,60.0,7.65,11.42,12.66,7.65,15.15,15.17
MLP_seq,8026.585,223315712.612,14943.752,0.13,10.0,43.33,70.0,5.73,8.86,10.34,5.73,12.02,13.3
MLP_seq,7262.915,196716448.499,14025.564,0.12,13.33,46.67,70.0,3.8,6.92,8.66,3.8,10.07,12.1
MLP_seq,7195.351,192584858.979,13877.495,0.12,20.0,40.0,76.67,3.39,6.45,8.2,3.39,9.54,11.67
MLP_seq,7261.072,209377575.313,14469.885,0.12,23.33,43.33,73.33,5.17,8.8,10.35,5.17,12.43,13.43
MLP_seq,8106.195,227239323.96,15074.459,0.13,26.67,40.0,63.33,6.39,9.34,11.01,6.39,12.32,14.32
MLP_seq,7587.11,214246277.168,14637.154,0.12,23.33,46.67,70.0,6.08,9.08,10.8,6.08,12.11,14.19
MLP_seq,7449.965,202830318.927,14241.851,0.12,16.67,40.0,73.33,5.1,7.92,9.61,5.1,10.79,12.94
MLP_seq,8166.686,245939231.625,15682.45,0.13,23.33,46.67,66.67,7.19,10.37,12.31,7.19,13.58,16.09
MLP_seq,7164.29,207992256.692,14421.937,0.12,26.67,50.0,76.67,4.91,7.95,9.73,4.91,11.01,13.26
MLP_seq,7369.525,209604555.634,14477.726,0.12,23.33,50.0,76.67,5.21,8.38,9.9,5.21,11.58,12.93
MLP_seq,7580.902,209955475.445,14489.84,0.12,16.67,40.0,70.0,5.9,8.95,10.44,5.9,12.03,13.42
MLP_seq,7512.806,200642661.679,14164.839,0.12,23.33,43.33,66.67,4.88,7.88,9.67,4.88,10.92,13.2
MLP_seq,8432.85,231017292.138,15199.253,0.13,26.67,40.0,63.33,7.55,10.38,12.11,7.55,13.25,15.51
MLP_seq,7034.239,192750441.852,13883.459,0.12,23.33,46.67,73.33,4.43,7.83,9.46,4.43,11.25,12.71
MLP_seq,8155.525,229394968.344,15145.79,0.13,16.67,50.0,63.33,6.49,10.54,11.65,6.49,14.54,13.88
MLP_seq,8074.3,223018230.957,14933.795,0.13,20.0,36.67,66.67,6.31,9.65,10.91,6.31,13.0,13.45
MLP_seq,7363.811,202689068.055,14236.891,0.12,13.33,43.33,70.0,4.6,7.69,9.52,4.6,10.8,13.15
MLP_seq,7572.617,206394963.576,14366.453,0.12,20.0,36.67,73.33,4.66,8.12,9.95,4.66,11.59,13.54
MLP_seq,6935.687,196874237.26,14031.188,0.11,30.0,46.67,76.67,4.1,7.59,9.31,4.1,11.08,12.72
MLP_seq,8296.155,237825174.223,15421.581,0.13,33.33,43.33,63.33,7.13,10.23,11.72,7.13,13.35,14.68
MLP_seq,7857.165,218991054.303,14798.346,0.13,16.67,40.0,70.0,6.49,9.74,11.21,6.49,13.0,14.15
MLP_seq,7562.977,211892911.514,14556.542,0.12,23.33,43.33,66.67,5.68,8.67,10.31,5.68,11.69,13.57
MLP_seq,8383.555,221386880.111,14879.075,0.14,13.33,33.33,66.67,5.68,9.71,10.56,5.68,13.7,12.29
