validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,8233.892,211339863.674,14537.533,0.13,20.0,36.67,63.33,8.5,9.64,11.45,8.5,10.76,15.15
MLP_seq,7686.177,212282237.67,14569.909,0.12,10.0,40.0,66.67,5.84,7.84,9.86,5.84,9.77,13.97
MLP_seq,7158.256,197517274.007,14054.084,0.12,26.67,46.67,66.67,1.09,0.11,3.53,1.09,1.35,10.63
MLP_seq,7463.395,204253988.265,14291.745,0.13,16.67,36.67,66.67,0.89,1.41,2.93,0.89,1.94,11.21
MLP_seq,7894.873,216341622.909,14708.556,0.13,6.67,40.0,76.67,6.09,5.28,7.98,6.09,4.44,13.37
MLP_seq,7809.209,185689928.205,13626.809,0.13,6.67,26.67,63.33,0.18,1.12,2.27,0.18,2.09,8.95
MLP_seq,7905.97,191971932.599,13855.394,0.14,20.0,26.67,60.0,1.75,2.24,1.51,1.75,2.74,8.8
MLP_seq,8174.395,213242951.652,14602.841,0.13,13.33,33.33,70.0,5.5,2.86,6.32,5.5,0.03,13.09
MLP_seq,7868.789,200094927.385,14145.491,0.13,20.0,43.33,63.33,0.71,0.68,3.18,0.71,0.66,10.65
MLP_seq,7640.33,212237246.172,14568.365,0.12,16.67,50.0,63.33,3.19,2.31,6.04,3.19,1.4,13.27
MLP_seq,7827.528,193482719.671,13909.807,0.13,10.0,36.67,66.67,0.18,0.64,3.29,0.18,1.48,10.89
MLP_seq,7831.089,218952550.611,14797.045,0.12,10.0,46.67,66.67,4.53,3.47,7.02,4.53,2.38,13.92
MLP_seq,7652.056,189707032.252,13773.418,0.13,13.33,40.0,66.67,0.47,1.01,2.96,0.47,1.55,10.63
MLP_seq,8265.156,210715198.628,14516.032,0.13,10.0,33.33,63.33,3.8,3.14,6.16,3.8,2.46,12.13
MLP_seq,7822.768,197790404.889,14063.798,0.13,10.0,46.67,56.67,0.41,0.42,3.13,0.41,0.43,10.06
MLP_seq,8016.716,224198131.807,14973.247,0.13,23.33,50.0,63.33,2.2,1.81,5.34,2.2,1.41,12.23
MLP_seq,7776.664,194147627.219,13933.687,0.13,16.67,40.0,53.33,0.51,1.22,2.34,0.51,1.95,9.3
MLP_seq,7860.976,211749401.126,14551.612,0.13,20.0,46.67,66.67,2.35,0.78,4.65,2.35,0.86,12.12
MLP_seq,8380.551,209668947.436,14479.95,0.14,13.33,36.67,53.33,4.61,2.36,5.87,4.61,0.02,12.72
MLP_seq,8237.71,225532536.394,15017.741,0.13,13.33,40.0,63.33,4.98,4.62,7.77,4.98,4.26,13.95
MLP_seq,7746.466,190159471.665,13789.832,0.13,23.33,43.33,56.67,1.13,1.09,2.56,1.13,1.05,9.66
MLP_seq,7748.05,207762990.358,14413.986,0.12,20.0,46.67,63.33,1.82,2.79,6.27,1.82,3.74,13.07
MLP_seq,7417.705,183281671.942,13538.156,0.13,26.67,36.67,60.0,0.24,0.85,2.72,0.24,1.48,9.69
MLP_seq,7766.364,199885101.236,14138.073,0.13,26.67,40.0,63.33,2.55,1.23,5.2,2.55,0.15,12.84
MLP_seq,7818.383,174520849.754,13210.634,0.14,16.67,33.33,53.33,1.31,2.81,0.8,1.31,4.38,7.86
MLP_seq,7806.399,200083410.797,14145.084,0.13,13.33,40.0,60.0,2.44,2.06,5.46,2.44,1.67,12.13
MLP_seq,8213.712,224151772.502,14971.699,0.13,16.67,40.0,63.33,4.75,4.34,7.28,4.75,3.92,13.12
