validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
2.0,5744.466,46267817.931,6802.045,0.09,6.67,13.33,63.33,2.25,5.36,5.21,2.25,8.32,4.91
3.0,4962.86,37513005.476,6124.786,0.08,3.33,23.33,83.33,1.39,3.55,2.99,1.39,5.6,1.87
4.0,5111.028,39045453.207,6248.636,0.09,3.33,26.67,76.67,1.03,2.94,3.28,1.03,4.76,3.95
5.0,5579.89,45194836.99,6722.711,0.09,3.33,13.33,83.33,2.68,4.56,4.17,2.68,6.35,3.37
6.0,5910.035,48050060.758,6931.815,0.1,0.0,10.0,70.0,1.94,4.96,5.04,1.94,7.83,5.21
7.0,5920.183,46859870.885,6845.427,0.1,0.0,13.33,66.67,2.38,5.21,5.15,2.38,7.91,5.03
8.0,5798.399,46397856.89,6811.597,0.1,3.33,10.0,73.33,2.85,5.05,4.73,2.85,7.13,4.1
9.0,4751.214,38880515.988,6235.424,0.08,10.0,26.67,86.67,1.14,3.08,2.27,1.14,4.92,0.65
0.1,5232.137,40108940.36,6333.162,0.09,3.33,23.33,86.67,1.35,3.83,3.55,1.35,6.18,3.0
0.2,5255.824,42605122.96,6527.26,0.09,6.67,16.67,80.0,1.39,3.88,3.32,1.39,6.26,2.19
0.30000000000000004,4819.566,35970031.981,5997.502,0.08,0.0,30.0,86.67,0.74,2.34,2.35,0.74,3.87,2.36
0.4,5493.49,43236123.586,6575.418,0.09,3.33,26.67,73.33,1.52,4.75,4.15,1.52,7.81,2.95
0.5,5744.403,47189246.784,6869.443,0.1,0.0,6.67,80.0,2.21,4.33,4.25,2.21,6.34,4.09
0.6,5819.036,47804203.733,6914.058,0.1,3.33,13.33,73.33,0.76,3.94,4.46,0.76,6.96,5.52
0.7,5566.785,43113422.431,6566.081,0.09,0.0,23.33,76.67,1.57,3.93,4.86,1.57,6.17,6.73
0.7999999999999999,4867.274,34764843.506,5896.172,0.08,6.67,30.0,80.0,0.38,2.77,3.32,0.38,5.05,4.41
0.8999999999999999,7431.536,68082097.275,8251.188,0.12,0.0,3.33,40.0,6.52,7.58,7.84,6.52,8.59,8.35
