validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
2,5289.079,42963391.279,6554.647,0.09,3.33,33.33,76.67,0.73,3.93,3.87,0.73,6.96,3.77
3,8481.199,337135816.777,18361.259,0.14,16.67,36.67,86.67,1.35,6.73,8.47,1.35,14.42,11.97
4,5351.537,42910254.644,6550.592,0.09,0.0,33.33,73.33,1.82,3.95,4.2,1.82,5.98,4.71
5,4556.07,32780105.029,5725.391,0.08,3.33,36.67,90.0,1.83,3.51,3.48,1.83,5.11,3.43
6,5466.372,47771806.451,6911.715,0.09,10.0,30.0,76.67,0.57,4.39,4.16,0.57,8.03,3.68
7,5369.311,48134509.899,6937.904,0.09,0.0,33.33,73.33,0.32,2.55,3.28,0.32,4.67,4.76
8,4660.825,39694064.761,6300.323,0.08,13.33,40.0,76.67,1.69,1.49,1.98,1.69,4.52,2.97
9,5424.189,41778267.377,6463.611,0.09,6.67,30.0,73.33,1.47,4.62,4.58,1.47,7.63,4.48
0.1,5353.732,72522469.425,8516.013,0.1,3.33,36.67,83.33,0.73,2.37,5.95,0.73,3.93,13.17
0.2,5255.846,43029565.028,6559.692,0.09,3.33,30.0,73.33,0.59,3.56,3.58,0.59,6.37,3.62
0.30000000000000004,4965.069,39034573.557,6247.765,0.08,6.67,23.33,90.0,0.62,2.88,2.86,0.62,5.03,2.81
0.4,5556.515,44093753.008,6640.313,0.09,0.0,16.67,80.0,1.63,4.26,4.38,1.63,6.77,4.62
0.5,5353.75,42850359.407,6546.019,0.09,3.33,33.33,70.0,0.11,2.99,3.28,0.11,5.93,3.87
0.6,7259.208,95986016.773,9797.245,0.12,6.67,33.33,56.67,5.67,8.88,7.45,5.67,11.94,4.55
0.7,5480.135,43479013.325,6593.862,0.09,3.33,23.33,73.33,0.28,2.91,3.65,0.28,5.95,5.13
0.7999999999999999,9480.405,324449202.616,18012.474,0.15,3.33,23.33,70.0,10.71,13.37,10.58,10.71,15.91,4.94
0.8999999999999999,5412.071,43751210.052,6614.47,0.09,10.0,23.33,66.67,0.44,3.81,4.03,0.44,7.01,4.49
