timestamp,kWh fornecido
2023-10-01,75392.28
2023-10-10,188959.32
2023-10-19,166509.36000000002
2023-10-28,188100.72
2023-11-06,188341.92
2023-11-15,180451.08
2023-11-24,189166.32
2023-12-03,191131.2
2023-12-12,184534.92
2023-12-21,188866.44
2023-12-30,189167.76
2024-01-08,187014.6
2024-01-17,175406.76
2024-01-26,180609.48
2024-02-04,184798.08
2024-02-13,185807.52
2024-02-22,186378.48
2024-03-02,186651.0
2024-03-11,163388.88
2024-03-20,186494.4
2024-03-29,165655.44
2024-04-07,186559.2
2024-04-16,185239.44
2024-04-25,182024.64
2024-05-04,174201.84
2024-05-13,176802.48
2024-05-22,197058.6
2024-05-31,196320.6
2024-06-09,199984.32
2024-06-18,197519.76
2024-06-27,193162.32
2024-07-06,198326.88
2024-07-15,196117.2
2024-07-24,205577.28
2024-08-02,107742.96
