validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,10476.911,268703756.938,16392.186,0.16,6.67,16.67,43.33,10.9,14.88,15.49,10.9,18.81,16.73
MLP_seq,9531.895,258493129.083,16077.722,0.15,6.67,30.0,50.0,8.31,13.19,13.97,8.31,17.91,15.57
MLP_seq,6721.722,173103086.248,13156.865,0.12,13.33,40.0,76.67,0.22,4.4,6.0,0.22,8.94,9.19
MLP_seq,7251.73,177425503.757,13320.117,0.13,16.67,30.0,63.33,2.21,2.4,4.01,2.21,6.93,7.23
MLP_seq,6748.967,184281672.34,13575.039,0.11,16.67,46.67,83.33,0.5,4.28,6.43,0.5,8.05,10.65
MLP_seq,6971.657,185789141.423,13630.449,0.12,23.33,50.0,76.67,4.95,7.8,9.68,4.95,10.7,13.39
MLP_seq,6917.404,192432289.181,13871.997,0.12,26.67,50.0,73.33,4.0,7.15,9.31,4.0,10.34,13.5
MLP_seq,6722.713,188769605.961,13739.345,0.11,23.33,53.33,80.0,2.12,6.1,8.23,2.12,10.05,12.39
MLP_seq,7216.666,207992358.151,14421.94,0.12,10.0,53.33,76.67,3.95,7.4,9.18,3.95,10.87,12.69
MLP_seq,6756.888,190450273.036,13800.372,0.11,26.67,53.33,80.0,4.85,7.61,9.32,4.85,10.43,12.71
MLP_seq,8399.152,235889132.421,15358.683,0.13,10.0,36.67,70.0,6.04,9.19,10.67,6.04,12.37,13.62
MLP_seq,7538.63,223737948.827,14957.872,0.12,20.0,53.33,73.33,5.91,9.24,11.05,5.91,12.59,14.62
MLP_seq,6695.787,185984578.187,13637.616,0.11,23.33,46.67,73.33,4.58,7.04,8.62,4.58,9.56,11.76
MLP_seq,7165.426,205062363.489,14319.999,0.12,33.33,53.33,73.33,5.14,8.64,10.29,5.14,12.15,13.56
MLP_seq,7388.739,208202750.21,14429.232,0.12,26.67,50.0,73.33,5.47,8.89,10.09,5.47,12.32,12.5
MLP_seq,7516.535,215820792.156,14690.84,0.12,33.33,46.67,73.33,6.1,8.97,10.64,6.1,11.88,13.95
MLP_seq,7681.713,213833749.934,14623.055,0.12,20.0,40.0,76.67,6.06,9.11,10.62,6.06,12.2,13.61
MLP_seq,6654.56,187532328.446,13694.244,0.11,20.0,50.0,76.67,2.68,6.69,8.64,2.68,10.66,12.49
MLP_seq,6659.543,169064321.712,13002.474,0.12,23.33,46.67,80.0,2.56,1.94,4.23,2.56,6.39,8.7
MLP_seq,6476.514,181204102.278,13461.207,0.11,20.0,50.0,80.0,0.71,4.36,6.09,0.71,8.01,9.53
MLP_seq,7214.45,199205292.409,14114.011,0.12,16.67,50.0,73.33,5.03,8.48,10.08,5.03,11.94,13.26
MLP_seq,7040.119,195087006.883,13967.355,0.12,20.0,50.0,73.33,4.33,8.19,9.79,4.33,12.02,12.97
MLP_seq,6798.894,180959348.029,13452.113,0.11,16.67,56.67,76.67,3.97,7.3,9.03,3.97,10.65,12.44
MLP_seq,7935.68,223725098.229,14957.443,0.13,23.33,46.67,66.67,6.9,10.24,11.88,6.9,13.6,15.13
MLP_seq,6420.887,182746011.47,13518.358,0.11,30.0,60.0,76.67,2.86,6.76,8.6,2.86,10.63,12.25
MLP_seq,6742.229,177042169.278,13305.719,0.12,20.0,40.0,80.0,0.49,4.44,6.11,0.49,8.37,9.42
MLP_seq,7334.791,198506115.533,14089.22,0.12,16.67,46.67,70.0,4.55,7.62,9.62,4.55,10.73,13.53
