validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,17222.606,362049062.032,19027.587,0.26,0.0,0.0,3.33,25.86,25.02,26.44,25.86,24.2,29.33
MLP_seq,16074.072,333428672.39,18260.029,0.25,3.33,3.33,3.33,23.71,23.53,25.12,23.71,23.36,28.35
MLP_seq,5758.262,91819363.181,9582.242,0.11,13.33,33.33,63.33,7.1,2.87,4.93,7.1,1.58,9.11
MLP_seq,6371.305,94979288.642,9745.732,0.12,10.0,26.67,46.67,8.89,5.39,8.11,8.89,1.76,13.51
MLP_seq,5499.933,82268887.384,9070.22,0.11,16.67,40.0,76.67,5.39,2.02,4.16,5.39,1.47,8.5
MLP_seq,5584.146,90592681.148,9518.019,0.11,20.0,33.33,66.67,5.76,3.24,5.61,5.76,0.69,10.37
MLP_seq,5513.612,87575030.029,9358.153,0.11,10.0,36.67,70.0,6.82,3.79,6.22,6.82,0.67,11.1
MLP_seq,5613.374,82960647.166,9108.274,0.11,13.33,36.67,63.33,5.15,0.99,3.4,5.15,3.38,8.24
MLP_seq,5303.909,83592956.195,9142.918,0.11,16.67,43.33,66.67,4.99,2.32,4.37,4.99,0.41,8.56
MLP_seq,5850.901,90433258.871,9509.64,0.12,13.33,43.33,60.0,7.14,3.63,5.9,7.14,0.0,10.47
MLP_seq,5179.999,82594425.686,9088.148,0.1,16.67,46.67,66.67,5.17,1.97,4.69,5.17,1.33,10.11
MLP_seq,5194.88,84823299.06,9209.957,0.1,16.67,43.33,70.0,4.88,1.95,4.19,4.88,1.05,8.73
MLP_seq,5388.029,83635612.133,9145.251,0.11,16.67,43.33,70.0,5.49,2.52,4.7,5.49,0.53,9.11
MLP_seq,5574.303,94627927.436,9727.689,0.11,23.33,43.33,63.33,6.27,3.42,5.61,6.27,0.51,10.04
MLP_seq,5726.852,84112466.188,9171.285,0.12,13.33,36.67,60.0,5.1,1.94,3.18,5.1,1.32,5.79
MLP_seq,5083.609,80609822.426,8978.297,0.1,10.0,50.0,70.0,4.27,1.59,3.25,4.27,1.13,6.67
MLP_seq,5210.84,86459038.656,9298.335,0.1,13.33,43.33,73.33,5.91,3.29,5.49,5.91,0.62,9.93
MLP_seq,5593.399,85121817.766,9226.149,0.11,16.67,33.33,66.67,6.28,3.44,5.83,6.28,0.54,10.64
MLP_seq,5978.641,87611033.417,9360.077,0.12,10.0,26.67,56.67,8.17,5.34,7.87,8.17,2.44,12.93
MLP_seq,5913.645,89546324.861,9462.892,0.12,3.33,30.0,66.67,6.25,2.49,4.75,6.25,1.43,9.33
MLP_seq,5474.181,89818299.216,9477.252,0.11,16.67,33.33,66.67,5.51,2.96,5.3,5.51,0.37,10.03
MLP_seq,5328.785,83781682.476,9153.233,0.1,20.0,40.0,70.0,6.23,3.52,5.88,6.23,0.76,10.64
MLP_seq,5299.413,78025375.192,8833.197,0.11,10.0,36.67,66.67,5.77,2.26,4.23,5.77,1.38,8.26
MLP_seq,5163.138,80456260.897,8969.741,0.1,13.33,56.67,66.67,4.17,1.8,3.86,4.17,0.6,8.04
MLP_seq,5512.048,88223092.292,9392.715,0.11,23.33,43.33,63.33,6.28,2.61,4.23,6.28,1.21,7.58
MLP_seq,4948.139,79758447.462,8930.759,0.1,16.67,46.67,76.67,3.77,1.49,3.86,3.77,0.81,8.64
MLP_seq,5590.258,89969837.731,9485.243,0.11,16.67,30.0,70.0,7.44,4.47,6.64,7.44,1.41,11.03
