validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,8233.892,211339863.674,14537.533,0.13,20.0,36.67,63.33,8.5,9.64,11.45,8.5,10.76,15.15
MLP_seq,7686.177,212282237.67,14569.909,0.12,10.0,40.0,66.67,5.84,7.84,9.86,5.84,9.77,13.97
MLP_seq,6974.895,182263171.464,13500.488,0.11,23.33,43.33,66.67,3.46,4.49,6.38,3.46,5.52,10.23
MLP_seq,7230.179,191894238.35,13852.59,0.12,23.33,50.0,70.0,4.14,5.28,7.93,4.14,6.41,13.23
MLP_seq,8186.181,225066025.012,15002.201,0.13,10.0,40.0,70.0,8.07,8.71,10.8,8.07,9.34,15.05
MLP_seq,6544.073,191661551.488,13844.188,0.11,33.33,50.0,76.67,3.62,3.99,6.31,3.62,4.36,11.0
MLP_seq,6743.002,182873339.339,13523.067,0.11,23.33,43.33,70.0,2.52,2.67,5.39,2.52,2.81,10.85
MLP_seq,6714.006,194692278.818,13953.218,0.11,20.0,50.0,76.67,6.11,5.52,7.95,6.11,4.92,12.84
MLP_seq,7483.083,222122484.13,14903.774,0.12,23.33,50.0,70.0,6.62,7.09,9.7,6.62,7.57,14.91
MLP_seq,6991.817,197453665.926,14051.821,0.11,13.33,53.33,70.0,5.87,5.99,8.51,5.87,6.11,13.56
MLP_seq,6802.205,195338874.07,13976.368,0.11,30.0,56.67,76.67,5.3,5.43,7.81,5.3,5.56,12.61
MLP_seq,7876.439,197160213.047,14041.375,0.13,10.0,33.33,63.33,3.31,5.47,7.57,3.31,7.57,11.84
MLP_seq,6689.919,201900256.279,14209.161,0.1,30.0,50.0,80.0,5.35,5.88,8.49,5.35,6.4,13.72
MLP_seq,6773.563,203533834.514,14266.528,0.11,30.0,53.33,76.67,5.76,6.43,8.81,5.76,7.09,13.59
MLP_seq,7174.767,210722910.123,14516.298,0.11,20.0,50.0,70.0,7.31,7.39,9.65,7.31,7.48,14.21
MLP_seq,7183.431,212111926.053,14564.063,0.11,20.0,56.67,73.33,7.04,7.14,9.73,7.04,7.24,14.9
MLP_seq,6948.478,192432802.591,13872.015,0.11,23.33,50.0,76.67,5.82,5.97,8.04,5.82,6.11,12.26
MLP_seq,6707.432,177765384.867,13332.869,0.11,20.0,43.33,73.33,3.51,4.66,6.77,3.51,5.8,11.07
MLP_seq,8045.085,228782795.892,15125.568,0.12,26.67,46.67,66.67,8.14,8.5,11.02,8.14,8.85,16.07
MLP_seq,6802.991,188720651.022,13737.564,0.11,30.0,46.67,73.33,4.31,4.53,6.94,4.31,4.75,11.79
MLP_seq,6713.651,182805080.685,13520.543,0.11,26.67,40.0,66.67,1.73,1.76,4.43,1.73,1.79,9.77
MLP_seq,6647.432,186927162.971,13672.131,0.11,30.0,46.67,80.0,3.59,3.75,6.13,3.59,3.92,10.93
MLP_seq,6738.137,193115922.313,13896.615,0.11,23.33,56.67,80.0,5.08,5.01,7.62,5.08,4.94,12.86
MLP_seq,6400.454,179203795.599,13386.702,0.1,26.67,53.33,76.67,3.68,3.98,6.35,3.68,4.28,11.12
MLP_seq,6556.818,182324654.873,13502.765,0.11,20.0,56.67,76.67,3.46,3.78,6.35,3.46,4.11,11.5
MLP_seq,7000.111,199839567.593,14136.462,0.11,20.0,53.33,76.67,5.94,6.06,8.25,5.94,6.17,12.68
MLP_seq,7859.102,214941594.509,14660.887,0.12,13.33,36.67,66.67,4.92,6.13,8.34,4.92,7.33,12.8
