validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,10476.911,268703756.938,16392.186,0.16,6.67,16.67,43.33,10.9,14.88,15.49,10.9,18.81,16.73
MLP_seq,9531.895,258493129.083,16077.722,0.15,6.67,30.0,50.0,8.31,13.19,13.97,8.31,17.91,15.57
MLP_seq,7985.281,215748475.77,14688.379,0.13,10.0,33.33,66.67,1.7,5.82,7.06,1.7,9.9,9.57
MLP_seq,7191.804,197700281.675,14060.593,0.12,33.33,50.0,70.0,1.57,5.64,7.74,1.57,9.69,11.84
MLP_seq,8721.938,237827670.514,15421.662,0.14,10.0,40.0,60.0,5.88,9.43,10.82,5.88,12.99,13.58
MLP_seq,7521.694,205702876.42,14342.346,0.12,20.0,46.67,70.0,4.45,7.66,9.31,4.45,10.89,12.59
MLP_seq,7889.019,219039140.509,14799.971,0.13,20.0,43.33,66.67,5.08,8.93,10.21,5.08,12.75,12.79
MLP_seq,8587.7,222906659.495,14930.059,0.14,13.33,33.33,60.0,6.23,9.28,10.49,6.23,12.36,12.93
MLP_seq,7695.621,218265346.212,14773.806,0.12,20.0,43.33,70.0,6.3,9.4,10.79,6.3,12.52,13.56
MLP_seq,7352.894,202257336.606,14221.721,0.12,16.67,43.33,70.0,1.95,5.57,6.93,1.95,9.19,9.65
MLP_seq,7653.046,218185374.432,14771.099,0.12,23.33,43.33,76.67,5.71,9.01,10.78,5.71,12.33,14.29
MLP_seq,7949.718,224621205.443,14987.368,0.13,23.33,43.33,73.33,5.72,9.13,11.11,5.72,12.54,15.0
MLP_seq,8068.17,229947385.851,15164.016,0.13,23.33,40.0,66.67,6.33,9.88,11.37,6.33,13.44,14.34
MLP_seq,8136.216,228040314.695,15101.004,0.13,16.67,43.33,73.33,5.76,9.66,10.83,5.76,13.53,13.19
MLP_seq,8274.744,224358397.337,14978.598,0.13,16.67,40.0,63.33,4.44,8.11,9.61,4.44,11.77,12.59
MLP_seq,7633.69,211451604.88,14541.376,0.12,16.67,46.67,66.67,5.59,9.07,10.91,5.59,12.55,14.52
MLP_seq,8065.41,218653897.121,14786.95,0.13,20.0,43.33,70.0,6.5,9.74,11.53,6.5,12.99,15.06
MLP_seq,7834.917,206944967.349,14385.582,0.13,6.67,40.0,66.67,2.82,7.04,8.37,2.82,11.21,11.03
MLP_seq,7046.408,196685645.952,14024.466,0.12,23.33,46.67,70.0,2.67,6.67,8.1,2.67,10.65,10.93
MLP_seq,7883.678,214108008.021,14632.43,0.13,26.67,40.0,60.0,4.09,7.86,9.24,4.09,11.61,12.01
MLP_seq,7414.002,198954938.319,14105.139,0.12,13.33,43.33,70.0,2.8,6.99,8.23,2.8,11.13,10.72
MLP_seq,7681.114,214455043.238,14644.284,0.13,20.0,43.33,70.0,4.49,8.4,9.74,4.49,12.29,12.42
MLP_seq,8589.223,234198467.652,15303.544,0.14,13.33,36.67,66.67,6.84,10.1,11.49,6.84,13.38,14.26
MLP_seq,7720.049,220693834.229,14855.768,0.12,16.67,53.33,70.0,6.3,9.59,10.8,6.3,12.89,13.23
MLP_seq,7462.933,208108027.177,14425.95,0.12,26.67,36.67,70.0,2.86,6.61,7.9,2.86,10.35,10.49
MLP_seq,7537.302,217840851.931,14759.433,0.12,26.67,46.67,76.67,5.42,8.78,10.52,5.42,12.14,13.95
MLP_seq,7089.531,194314846.41,13939.686,0.12,20.0,46.67,70.0,2.25,5.96,7.47,2.25,9.66,10.5
