validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,17222.606,362049062.032,19027.587,0.26,0.0,0.0,3.33,25.86,25.02,26.44,25.86,24.2,29.33
MLP_seq,16074.072,333428672.39,18260.029,0.25,3.33,3.33,3.33,23.71,23.53,25.12,23.71,23.36,28.35
MLP_seq,5147.266,75117103.652,8667.012,0.1,23.33,30.0,73.33,3.57,1.94,4.03,3.57,0.32,8.26
MLP_seq,5805.762,93950952.474,9692.83,0.11,16.67,36.67,70.0,6.97,3.83,6.56,6.97,0.6,11.99
MLP_seq,5136.663,75766018.251,8704.368,0.1,13.33,50.0,73.33,5.47,3.85,5.62,5.47,2.24,9.25
MLP_seq,5413.518,82808429.8,9099.914,0.11,13.33,43.33,63.33,4.79,2.71,5.06,4.79,0.62,9.8
MLP_seq,5480.443,81543619.557,9030.151,0.11,16.67,30.0,63.33,4.2,1.6,4.01,4.2,1.05,8.87
MLP_seq,5045.588,79169701.582,8897.736,0.1,23.33,43.33,66.67,3.28,0.49,2.54,3.28,2.36,6.72
MLP_seq,5468.752,84614182.663,9198.597,0.11,13.33,43.33,66.67,5.91,3.92,6.41,5.91,1.92,11.41
MLP_seq,4924.472,76499503.188,8746.399,0.1,13.33,43.33,73.33,3.47,0.6,3.09,3.47,2.33,8.08
MLP_seq,5234.905,78066387.263,8835.519,0.11,13.33,43.33,66.67,3.31,1.06,3.3,3.31,1.2,7.83
MLP_seq,6193.668,86420808.378,9296.279,0.12,6.67,26.67,60.0,3.56,1.55,4.56,3.56,0.46,10.52
MLP_seq,5359.962,84657476.16,9200.95,0.1,13.33,40.0,73.33,7.9,5.59,7.71,7.9,3.25,12.01
MLP_seq,4930.076,80582863.809,8976.796,0.1,13.33,46.67,73.33,3.32,0.53,2.99,3.32,2.31,7.94
MLP_seq,5096.182,82456603.146,9080.562,0.1,20.0,43.33,70.0,3.73,1.33,3.47,3.73,1.11,7.83
MLP_seq,5354.991,77563633.76,8807.022,0.11,10.0,33.33,70.0,3.38,1.36,3.69,3.38,0.66,8.39
MLP_seq,5464.66,78441081.055,8856.697,0.11,16.67,36.67,63.33,2.35,0.08,2.3,2.35,2.2,6.8
MLP_seq,5086.387,73852890.56,8593.77,0.1,13.33,36.67,73.33,5.08,2.45,4.32,5.08,0.23,8.16
MLP_seq,6434.315,98460284.765,9922.716,0.12,13.33,33.33,60.0,8.93,5.87,8.57,8.93,2.72,13.93
MLP_seq,5519.318,84606948.514,9198.204,0.11,20.0,36.67,63.33,6.53,4.18,6.45,6.53,1.81,11.02
MLP_seq,5449.011,85881425.254,9267.223,0.11,3.33,40.0,70.0,5.71,3.06,5.34,5.71,0.35,9.95
MLP_seq,5534.719,84136016.052,9172.569,0.11,10.0,23.33,70.0,4.79,2.06,4.61,4.79,0.73,9.73
MLP_seq,5096.509,78677492.55,8870.033,0.1,20.0,43.33,66.67,2.45,0.24,2.26,2.45,1.99,6.37
MLP_seq,5903.736,88456898.942,9405.153,0.12,16.67,30.0,60.0,6.5,4.0,6.43,6.5,1.45,11.32
MLP_seq,4858.853,75192856.971,8671.381,0.1,16.67,40.0,76.67,3.45,0.7,3.13,3.45,2.09,8.01
MLP_seq,5526.365,80786705.336,8988.142,0.11,6.67,33.33,66.67,5.51,2.21,4.73,5.51,1.19,9.78
MLP_seq,6174.685,85627100.819,9253.491,0.12,6.67,26.67,60.0,4.1,2.36,5.0,4.1,0.61,10.29
