validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,17222.606,362049062.032,19027.587,0.26,0.0,0.0,3.33,25.86,25.02,26.44,25.86,24.2,29.33
MLP_seq,16074.072,333428672.39,18260.029,0.25,3.33,3.33,3.33,23.71,23.53,25.12,23.71,23.36,28.35
MLP_seq,6248.261,93335909.46,9661.051,0.12,10.0,30.0,56.67,8.63,5.51,7.96,8.63,2.29,12.87
MLP_seq,5698.861,82633897.972,9090.319,0.11,16.67,26.67,66.67,6.36,3.1,5.15,6.36,0.25,9.3
MLP_seq,5268.855,80657220.116,8980.936,0.1,13.33,46.67,63.33,5.51,2.47,5.34,5.51,0.65,11.02
MLP_seq,5744.484,88773613.321,9421.975,0.11,10.0,40.0,66.67,7.15,4.22,6.69,7.15,1.22,11.63
MLP_seq,5209.269,80543605.791,8974.609,0.1,20.0,43.33,70.0,4.94,1.94,4.13,4.94,1.15,8.57
MLP_seq,5426.156,84513216.3,9193.107,0.11,23.33,40.0,73.33,4.11,2.04,4.08,4.11,0.05,8.23
MLP_seq,5405.196,85944030.564,9270.6,0.11,23.33,33.33,66.67,5.38,2.4,5.68,5.38,0.65,12.1
MLP_seq,6353.675,99027315.594,9951.247,0.12,10.0,30.0,60.0,6.44,3.76,5.92,6.44,1.02,10.29
MLP_seq,6045.832,90733068.548,9525.391,0.12,13.33,30.0,63.33,6.08,3.01,5.21,6.08,0.14,9.66
MLP_seq,5666.687,81551157.038,9030.568,0.12,10.0,33.33,63.33,2.71,0.86,2.91,2.71,0.98,7.08
MLP_seq,6003.842,90939559.391,9536.224,0.12,10.0,33.33,70.0,9.42,6.49,8.14,9.42,3.49,11.54
MLP_seq,5696.25,90793775.548,9528.577,0.11,13.33,40.0,73.33,7.87,5.1,7.02,7.87,2.27,10.94
MLP_seq,5730.753,85574331.444,9250.64,0.11,10.0,40.0,63.33,8.57,5.93,7.69,8.57,3.24,11.29
MLP_seq,5838.35,87048649.141,9329.987,0.11,13.33,36.67,66.67,9.05,5.96,7.81,9.05,2.78,11.59
MLP_seq,5948.995,88405483.511,9402.419,0.12,10.0,30.0,63.33,8.87,6.0,7.66,8.87,3.06,11.06
MLP_seq,5152.424,78972004.076,8886.619,0.1,23.33,46.67,66.67,5.5,2.41,5.16,5.5,0.78,10.64
MLP_seq,5893.344,87356961.374,9346.495,0.12,16.67,33.33,60.0,5.49,3.2,5.2,5.49,0.89,9.28
MLP_seq,5235.51,84425544.618,9188.337,0.1,10.0,46.67,73.33,5.81,2.97,5.62,5.81,0.07,10.9
MLP_seq,5538.934,87316801.083,9344.346,0.11,23.33,40.0,63.33,7.23,4.33,6.65,7.23,1.35,11.34
MLP_seq,5372.864,84306911.607,9181.88,0.11,20.0,43.33,66.67,5.22,2.37,4.54,5.22,0.54,8.95
MLP_seq,5877.428,93023119.017,9644.849,0.12,16.67,26.67,70.0,7.21,4.86,6.99,7.21,2.47,11.3
MLP_seq,5740.2,91810725.798,9581.791,0.11,13.33,30.0,70.0,6.01,3.06,5.22,6.01,0.04,9.6
MLP_seq,5685.999,83493753.237,9137.492,0.12,6.67,40.0,63.33,4.44,0.06,2.12,4.44,4.82,6.55
MLP_seq,5444.325,80080369.655,8948.764,0.11,6.67,33.33,73.33,5.14,2.3,5.41,5.14,0.59,11.53
MLP_seq,5261.994,69455470.919,8333.995,0.11,16.67,33.33,70.0,3.03,0.1,2.43,3.03,2.9,7.14
