validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,17222.606,362049062.032,19027.587,0.26,0.0,0.0,3.33,25.86,25.02,26.44,25.86,24.2,29.33
MLP_seq,16074.072,333428672.39,18260.029,0.25,3.33,3.33,3.33,23.71,23.53,25.12,23.71,23.36,28.35
MLP_seq,5880.405,87644128.22,9361.844,0.12,16.67,30.0,70.0,5.02,3.32,4.45,5.02,1.63,6.8
MLP_seq,5820.906,89031917.387,9435.673,0.12,16.67,33.33,60.0,5.76,2.48,4.99,5.76,0.9,10.02
MLP_seq,5869.422,93049162.42,9646.199,0.12,13.33,36.67,56.67,0.76,1.04,0.75,0.76,2.83,4.44
MLP_seq,5817.109,94856771.239,9739.444,0.11,16.67,43.33,66.67,5.41,4.33,6.39,5.41,3.27,10.58
MLP_seq,5534.314,83908128.286,9160.138,0.11,6.67,40.0,63.33,5.72,2.28,4.96,5.72,1.29,10.31
MLP_seq,6452.628,97260462.504,9862.072,0.12,13.33,26.67,63.33,7.92,5.82,8.28,7.92,3.69,13.21
MLP_seq,6139.477,100181400.094,10009.066,0.13,16.67,43.33,63.33,0.89,0.31,1.27,0.89,0.26,3.29
MLP_seq,5228.627,78006757.388,8832.143,0.11,23.33,36.67,63.33,3.64,0.73,2.95,3.64,2.23,7.42
MLP_seq,5980.226,87333951.576,9345.264,0.12,6.67,26.67,70.0,6.54,3.36,4.97,6.54,0.09,8.3
MLP_seq,5878.775,83360016.019,9130.171,0.12,10.0,30.0,63.33,6.64,3.95,5.58,6.64,1.21,8.93
MLP_seq,5157.217,79325138.27,8906.466,0.1,16.67,36.67,70.0,6.29,3.58,5.48,6.29,0.82,9.37
MLP_seq,5933.629,89850842.626,9478.968,0.12,20.0,33.33,63.33,8.43,5.38,7.46,8.43,2.25,11.68
MLP_seq,6398.966,94288685.841,9710.236,0.13,13.33,23.33,60.0,6.23,4.15,6.15,6.23,2.05,10.23
MLP_seq,6003.279,93490219.744,9669.034,0.12,23.33,36.67,63.33,4.89,3.59,5.36,4.89,2.3,8.99
MLP_seq,7239.969,114861742.672,10717.357,0.14,10.0,23.33,50.0,9.25,7.26,7.97,9.25,5.26,9.49
MLP_seq,5462.998,87661005.844,9362.746,0.11,20.0,56.67,66.67,3.51,1.78,3.04,3.51,0.05,5.68
MLP_seq,5675.701,87354281.616,9346.351,0.11,13.33,36.67,63.33,4.65,2.45,4.8,4.65,0.23,9.55
MLP_seq,5542.743,97499135.462,9874.165,0.11,16.67,53.33,70.0,4.59,3.34,4.55,4.59,2.1,7.08
MLP_seq,5990.035,92886199.566,9637.749,0.12,10.0,36.67,66.67,5.96,3.91,5.52,5.96,1.84,8.84
MLP_seq,5622.51,88333476.089,9398.589,0.11,20.0,36.67,66.67,6.17,3.39,5.92,6.17,0.55,10.99
MLP_seq,6124.755,92001333.718,9591.733,0.12,3.33,36.67,63.33,5.06,2.74,4.61,5.06,0.39,8.44
MLP_seq,6217.609,104743320.075,10234.418,0.13,6.67,36.67,66.67,2.1,1.75,3.1,2.1,1.41,5.9
MLP_seq,5355.088,81723625.222,9040.112,0.11,10.0,40.0,73.33,5.96,3.34,5.6,5.96,0.67,10.17
MLP_seq,5677.233,82717750.396,9094.93,0.11,6.67,30.0,73.33,5.48,2.22,4.28,5.48,1.14,8.47
MLP_seq,5404.684,78495583.245,8859.773,0.11,10.0,40.0,70.0,5.59,2.75,4.92,5.59,0.16,9.31
