validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,10476.911,268703756.938,16392.186,0.16,6.67,16.67,43.33,10.9,14.88,15.49,10.9,18.81,16.73
MLP_seq,9531.895,258493129.083,16077.722,0.15,6.67,30.0,50.0,8.31,13.19,13.97,8.31,17.91,15.57
MLP_seq,7192.257,190348804.786,13796.695,0.12,10.0,46.67,76.67,2.29,6.5,8.56,2.29,10.66,12.61
MLP_seq,8569.918,212544497.448,14578.906,0.14,20.0,40.0,56.67,6.97,8.87,11.34,6.97,10.84,16.11
MLP_seq,7756.938,200698595.418,14166.813,0.13,16.67,43.33,66.67,4.06,6.76,9.6,4.06,9.52,15.03
MLP_seq,7705.473,206388002.373,14366.21,0.13,16.67,43.33,73.33,2.68,6.13,8.66,2.68,9.6,13.54
MLP_seq,8049.508,195280914.557,13974.295,0.14,6.67,30.0,63.33,3.46,6.42,8.33,3.46,9.42,12.1
MLP_seq,7572.109,205841567.494,14347.18,0.13,10.0,46.67,73.33,3.83,7.44,9.31,3.83,11.06,12.98
MLP_seq,7941.993,214522526.148,14646.588,0.13,16.67,43.33,70.0,4.8,8.26,10.69,4.8,11.73,15.38
MLP_seq,8328.114,223259078.912,14941.857,0.13,13.33,30.0,66.67,8.5,10.22,11.19,8.5,12.01,13.15
MLP_seq,8465.917,236527858.571,15379.462,0.14,16.67,46.67,63.33,4.78,7.92,10.56,4.78,11.09,15.63
MLP_seq,8649.049,227722617.087,15090.481,0.14,6.67,26.67,63.33,7.57,10.38,11.87,7.57,13.24,14.84
MLP_seq,8189.313,221697461.341,14889.508,0.13,10.0,43.33,70.0,5.94,9.02,11.07,5.94,12.14,15.06
MLP_seq,7618.46,210661464.534,14514.181,0.12,16.67,50.0,66.67,6.47,8.54,9.66,6.47,10.68,11.93
MLP_seq,8143.348,218479168.598,14781.041,0.13,13.33,36.67,70.0,6.51,9.51,11.19,6.51,12.55,14.51
MLP_seq,7934.489,214333607.736,14640.137,0.13,10.0,43.33,70.0,5.51,8.36,10.13,5.51,11.25,13.62
MLP_seq,8308.821,221560396.571,14884.905,0.13,6.67,43.33,70.0,6.36,9.27,11.08,6.36,12.22,14.65
MLP_seq,7366.703,190312631.742,13795.384,0.12,10.0,40.0,73.33,2.17,5.97,8.14,2.17,9.76,12.37
MLP_seq,7630.523,195368449.004,13977.426,0.13,20.0,40.0,60.0,2.54,5.43,8.16,2.54,8.37,13.38
MLP_seq,7598.605,203548647.342,14267.048,0.13,23.33,50.0,70.0,4.41,6.94,9.51,4.41,9.54,14.45
MLP_seq,7976.998,218527149.821,14782.664,0.13,30.0,43.33,63.33,4.28,7.59,10.34,4.28,10.93,15.59
MLP_seq,8239.515,220002833.555,14832.492,0.13,10.0,46.67,70.0,4.79,7.78,9.93,4.79,10.8,14.12
MLP_seq,8321.736,229030120.553,15133.741,0.13,10.0,40.0,70.0,5.18,8.19,10.55,5.18,11.23,15.11
MLP_seq,8485.919,232561868.338,15249.979,0.14,13.33,33.33,63.33,7.54,10.12,11.04,7.54,12.75,12.9
MLP_seq,8230.554,214903487.876,14659.587,0.13,16.67,40.0,66.67,5.19,8.76,10.58,5.19,12.34,14.17
MLP_seq,9054.186,229334448.973,15143.792,0.15,6.67,23.33,60.0,6.29,9.91,11.35,6.29,13.53,14.22
MLP_seq,8073.536,211450364.427,14541.333,0.13,6.67,40.0,63.33,5.6,7.74,9.19,5.6,9.95,12.08
