validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,17222.606,362049062.032,19027.587,0.26,0.0,0.0,3.33,25.86,25.02,26.44,25.86,24.2,29.33
MLP_seq,16074.072,333428672.39,18260.029,0.25,3.33,3.33,3.33,23.71,23.53,25.12,23.71,23.36,28.35
MLP_seq,4639.756,64622178.766,8038.792,0.1,16.67,56.67,76.67,2.4,2.53,3.24,2.4,2.66,4.74
MLP_seq,6184.605,98225619.363,9910.884,0.13,13.33,36.67,63.33,7.26,3.37,4.27,7.26,0.69,6.16
MLP_seq,6059.586,86812817.546,9317.34,0.12,6.67,26.67,60.0,1.01,0.38,3.1,1.01,1.76,9.89
MLP_seq,6395.058,95005900.851,9747.097,0.13,20.0,33.33,56.67,5.28,3.91,6.37,5.28,2.56,11.3
MLP_seq,6664.703,100902888.608,10045.043,0.13,13.33,26.67,53.33,4.0,3.1,5.73,4.0,2.21,10.99
MLP_seq,6438.179,95037413.035,9748.713,0.13,20.0,33.33,53.33,4.47,3.53,5.57,4.47,2.61,9.71
MLP_seq,6347.499,92552769.83,9620.435,0.13,13.33,33.33,53.33,3.45,2.61,5.12,3.45,1.79,10.15
MLP_seq,6017.614,88354864.191,9399.727,0.13,16.67,26.67,60.0,3.42,2.51,0.21,3.42,1.64,5.64
MLP_seq,6234.822,91814894.56,9582.009,0.13,26.67,33.33,56.67,0.06,0.21,2.85,0.06,0.47,8.12
MLP_seq,6602.583,96916196.305,9844.602,0.13,10.0,33.33,53.33,3.22,3.23,5.65,3.22,3.24,10.51
MLP_seq,6414.401,94760223.335,9734.486,0.13,10.0,36.67,53.33,2.35,2.07,4.43,2.35,1.79,9.19
MLP_seq,6422.028,95043898.754,9749.046,0.13,10.0,36.67,60.0,3.04,2.81,5.03,3.04,2.58,9.54
MLP_seq,6452.382,97096485.002,9853.755,0.13,16.67,36.67,53.33,3.89,3.37,5.73,3.89,2.86,10.47
MLP_seq,6387.787,96127034.651,9804.44,0.13,16.67,36.67,53.33,4.37,3.74,5.66,4.37,3.13,9.58
MLP_seq,6541.713,97842269.752,9891.525,0.13,13.33,36.67,56.67,2.42,2.49,4.87,2.42,2.55,9.67
MLP_seq,5233.553,76686142.058,8757.062,0.11,10.0,40.0,66.67,0.11,0.65,1.63,0.11,1.15,3.72
MLP_seq,7109.102,117521433.176,10840.73,0.14,6.67,16.67,56.67,8.5,6.62,7.35,8.5,4.74,8.9
MLP_seq,6370.904,97054989.957,9851.649,0.13,10.0,33.33,53.33,3.67,2.89,4.86,3.67,2.14,8.87
MLP_seq,6248.034,95547351.168,9774.833,0.13,16.67,36.67,60.0,2.0,1.97,3.98,2.0,1.94,8.08
MLP_seq,6433.924,96202196.735,9808.272,0.13,13.33,30.0,56.67,1.44,0.62,2.59,1.44,0.19,6.62
MLP_seq,6662.356,102923585.849,10145.126,0.13,20.0,30.0,50.0,4.46,3.35,5.46,4.46,2.25,9.74
MLP_seq,6949.656,104450264.66,10220.091,0.14,10.0,30.0,56.67,3.93,3.64,6.16,3.93,3.36,11.22
MLP_seq,6612.575,100560742.402,10027.998,0.13,13.33,36.67,56.67,4.49,4.38,6.24,4.49,4.27,10.04
MLP_seq,6288.98,95269264.379,9760.598,0.13,10.0,36.67,63.33,1.95,2.22,3.77,1.95,2.48,6.97
MLP_seq,6493.233,96587417.251,9827.89,0.13,16.67,36.67,46.67,4.85,3.74,5.56,4.85,2.64,9.3
