validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,8233.892,211339863.674,14537.533,0.13,20.0,36.67,63.33,8.5,9.64,11.45,8.5,10.76,15.15
MLP_seq,7686.177,212282237.67,14569.909,0.12,10.0,40.0,66.67,5.84,7.84,9.86,5.84,9.77,13.97
MLP_seq,7214.249,195298291.345,13974.917,0.12,10.0,50.0,70.0,1.47,2.57,6.0,1.47,3.65,12.7
MLP_seq,6730.731,173128737.699,13157.839,0.11,36.67,46.67,70.0,2.15,1.35,4.76,2.15,0.53,11.44
MLP_seq,6879.887,162993223.399,12766.88,0.12,16.67,33.33,66.67,1.84,1.64,2.47,1.84,1.44,10.39
MLP_seq,7220.512,208644484.784,14444.531,0.11,30.0,46.67,76.67,6.16,5.67,8.89,6.16,5.18,15.19
MLP_seq,6872.663,193489796.573,13910.061,0.11,16.67,53.33,70.0,4.0,4.04,7.11,4.0,4.08,13.18
MLP_seq,6931.974,196746229.568,14026.626,0.11,33.33,53.33,73.33,4.46,4.28,7.6,4.46,4.09,14.11
MLP_seq,6840.872,189918161.404,13781.08,0.11,20.0,36.67,83.33,0.66,2.19,6.03,0.66,4.91,13.43
MLP_seq,6533.386,175972749.144,13265.472,0.11,33.33,53.33,70.0,3.0,2.59,5.27,3.0,2.18,10.63
MLP_seq,6725.74,178251152.158,13351.073,0.11,20.0,50.0,73.33,3.44,3.2,5.88,3.44,2.95,11.24
MLP_seq,6919.02,183977916.039,13563.846,0.11,10.0,50.0,73.33,4.01,3.45,6.17,4.01,2.86,11.61
MLP_seq,7175.256,186989198.555,13674.399,0.12,10.0,43.33,70.0,4.33,3.68,6.45,4.33,3.02,11.97
MLP_seq,6949.727,178786371.319,13371.102,0.11,20.0,50.0,73.33,4.48,4.23,6.74,4.48,3.96,11.79
MLP_seq,7113.077,192281710.003,13866.568,0.11,20.0,40.0,73.33,4.42,3.82,6.84,4.42,3.21,12.8
MLP_seq,6699.84,180588517.208,13438.323,0.11,30.0,43.33,76.67,2.74,2.55,5.71,2.74,2.35,11.93
MLP_seq,7327.29,198524349.858,14089.867,0.12,13.33,43.33,70.0,0.12,1.14,5.13,0.12,2.38,12.8
MLP_seq,6896.218,190608770.032,13806.114,0.11,26.67,50.0,70.0,3.66,3.75,7.08,3.66,3.84,13.59
MLP_seq,7203.794,190196314.656,13791.168,0.12,10.0,50.0,73.33,4.39,4.32,7.82,4.39,4.26,14.63
MLP_seq,6750.08,174175430.965,13197.554,0.11,10.0,40.0,80.0,0.0,0.38,4.38,0.0,0.76,12.07
MLP_seq,6856.555,209562191.109,14476.263,0.11,30.0,60.0,76.67,6.24,6.37,9.42,6.24,6.51,15.42
MLP_seq,6891.174,188495740.219,13729.375,0.11,16.67,46.67,73.33,4.19,4.1,6.96,4.19,4.01,12.64
MLP_seq,7086.269,194216850.062,13936.171,0.11,16.67,50.0,76.67,5.07,5.39,8.31,5.07,5.71,14.1
MLP_seq,6845.716,186229203.111,13646.582,0.11,16.67,46.67,80.0,2.34,3.71,7.65,2.34,5.05,15.21
MLP_seq,6693.93,179612459.654,13401.957,0.11,20.0,53.33,80.0,3.68,3.39,6.07,3.68,3.1,11.44
MLP_seq,6597.982,177753723.254,13332.431,0.11,20.0,53.33,80.0,3.79,3.45,6.23,3.79,3.1,11.77
MLP_seq,7008.358,186123965.13,13642.726,0.11,13.33,50.0,76.67,4.33,4.0,6.57,4.33,3.66,11.74
